create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.refcol.__current_case__,parameters.refcol.ref,parameters.refcol.ref_column,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-23 07:25:39.468713,rodeo_normal,1427095565.0,0,1.0,main_w1_handler1,2245481,9011007,False,,29324857,interval,3284501.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18956433,,0,yes,1,32.0,,21956834,1427095554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2015-03-23 07:26:07.368403,,11.0
2015-12-09 11:05:04.167972,slurm_normal,1449659444.0,0,1.0,main_w2_handler1,2533220,11125377,False,,1584872074,interval,5390927.roundup,slurm,,132112168.0,corral-repl,,"""b1b49b149e6411e5a5f6005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22362519,,1,no,,32.0,,26693996,1449659130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2015-12-09 11:10:46.757557,3641.0,314.0
2015-03-30 13:13:01.218946,rodeo_normal,1427721203.0,0,1.0,main_w2_handler1,2251892,9085589,False,,73244,interval,3371087.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19062499,,1,no,,32.0,,22073410,1427721194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2015-03-30 13:13:24.935528,49083.0,9.0
2015-12-09 11:00:37.589299,slurm_normal,1449659223.0,0,1.0,main_w1_handler2,2533215,11125341,False,,1584872074,interval,5390909.roundup,slurm,,132112168.0,corral-repl,,"""0caada7a9e6411e58a81005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22362519,,1,no,,32.0,,26693996,1449658858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2015-12-09 11:07:06.145765,3641.0,365.0
2015-10-15 20:01:41.098772,slurm_normal,1444939331.0,0,1.0,main_w1_handler1,2471975,10588056,False,,6744,interval,4857651.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21543085,,1,no,,32.0,,25695817,1444939327.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2015-10-15 20:02:13.504484,64111.0,4.0
2016-04-27 13:31:51.691774,slurm_normal,1461763934.0,0,1.0,main_w2_handler0,2116458,12644729,False,,509373,interval,6849833.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55aa9b8032c5d829a'}]",1,no,,32.0,,29828631,1461763930.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2016-04-27 13:32:18.973807,55797.0,4.0
2016-08-05 05:30:29.768570,slurm_normal,1470375076.0,0,1.0,main_w1_handler0,2784907,13597229,False,,743,interval,7809099.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54d563ae16c41df38'}]",1,no,,32.0,,31968249,1470375071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2016-08-05 05:31:18.177269,88144.0,5.0
2014-11-30 18:59:42.852757,rodeo_normal,1417374000.0,0,1.0,main_w1_handler0,1766710,8273323,False,,1802428,interval,359092.rodeo,slurm,,8059880.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17698513,,1,no,,1.0,,19805277,1417373995.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2014-11-30 19:00:03.579816,43909.0,5.0
2017-04-15 00:10:55.748233,slurm_normal,1492215070.0,0,1.0,main_w3_handler1,3073560,15590875,False,,47106,interval,9712519.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29224746}]",1,no,,32.0,,37331718,1492215066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2017-04-15 00:11:13.945596,47785.0,4.0
2017-11-02 04:49:30.550721,slurm_normal,1509598191.0,0,1.0,main_w3_handler0,3307473,17294669,False,,19716790,interval,11356815,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 32016904}]",1,no,,32.0,,41683903,1509598181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/divide_pg_snp/dividePgSnp/1.0.0,1.0.0,,2017-11-02 04:49:53.712473,114925.0,10.0
