create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.out_format1,parameters.prefer,parameters.wordsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-02 18:11:39.946244,slurm_normal,1441217529.0,0.0,1.0,main_w1_handler0,2419162,10246528,False,,5702296,fasta,5732477,fasta,4531462.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20988569,,20988525,,"""fasta""","""no""","""300""",32.0,,24840631,1441217523.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2015-09-02 18:12:12.435974,68189.0,6.0
2015-09-02 18:09:32.231152,slurm_normal,1441217436.0,0.0,1.0,main_w2_handler1,2419162,10246509,False,,5702296,fasta,5732477,fasta,4531435.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20988569,,20988525,,"""fasta""","""no""","""20""",32.0,,24840631,1441217390.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2015-09-02 18:10:39.857508,68189.0,46.0
2015-09-22 05:30:19.187312,slurm_normal,1442899851.0,0.0,1.0,main_w1_handler0,2446990,10379510,False,,55582564,fasta,504,fasta,4660673.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21203944,,21203938,,"""fasta""","""no""","""20""",32.0,,25315589,1442899846.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2015-09-22 05:30:53.803305,52311.0,5.0
2015-11-16 08:14:00.110557,slurm_normal,1447662027.0,0.0,1.0,main_w2_handler1,2507975,10911947,False,,1267,gg,1273,gg,5165485.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22016605,,22016606,,"""fasta""","""no""","""20""",32.0,,26294444,1447662022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2015-11-16 08:20:29.336822,,5.0
2015-12-31 13:26:16.543820,slurm_normal,1451568428.0,0.0,1.0,main_w1_handler2,2544347,11353768,False,,35082517,bam,65984769,fasta,5626681.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""",22697763,,22698022,,"""fasta""","""no""","""20""",32.0,,27098388,1451568423.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2015-12-31 13:27:10.299714,75284.0,5.0
2017-02-22 02:48:05.499891,slurm_normal,1487731693.0,0.0,1.0,main_w4_handler0,3004941,15102009,False,,877019,fasta,877019,fasta,9257271.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28454492}]",,"[{'src': 'hda', 'id': 28454492}]","""fasta""","""no""","""20""",32.0,,36011642,1487731689.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2017-02-22 02:48:14.811023,99394.0,4.0
2016-02-23 11:24:48.070386,slurm_normal,1456226743.0,0.0,1.0,main_w1_handler1,2609386,11909516,False,,2739730,fasta,92890,fasta,6147102.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23470053,,23470054,,"""fasta""","""no""","""20""",32.0,,28560862,1456226727.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2016-02-23 11:25:48.181852,62120.0,16.0
2016-04-10 20:33:20.015079,slurm_normal,1460320440.0,0.0,1.0,main_w2_handler1,2664525,12411254,False,,541,fasta,1223,fasta,6610807.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24245709,,24245712,,"""fasta""","""no""","""20""",32.0,,29534980,1460320435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2016-04-10 20:34:04.104883,,5.0
2016-04-21 14:15:02.418076,slurm_normal,1461248128.0,0.0,1.0,main_w1_handler1,2678653,12549689,False,,31614,fasta,31614,fasta,6738176.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b531e1ce8ccad28707'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b531e1ce8ccad28707'}]","""fasta""","""no""","""200""",32.0,,29729832,1461248121.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2016-04-21 14:15:31.309421,,7.0
2014-10-01 04:42:18.768496,roundup_single,1412138549.0,0.0,1.0,main_w1_handler0,1854828,7907041,False,,149032271,fasta,111914265,fasta,1887057,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/main/files/009/327/dataset_9327831.dat""","""reference""",17106472,,17106469,,"""fasta""","""no""","""20""",32.0,,17316322,1412138547.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2014-10-01 04:42:30.802654,35312.0,2.0
2014-11-30 21:11:03.274537,rodeo_normal,1417381880.0,0.0,1.0,main_w1_handler0,1728197,8273769,False,,4701,fasta,6367,fasta,359902.rodeo,slurm,,8059880.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17718709,,17718710,,"""fasta""","""no""","""20""",1.0,,16619708,1417381871.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2014-11-30 21:11:22.246695,42874.0,9.0
2014-11-30 20:30:16.760874,rodeo_normal,1417379434.0,0.0,1.0,main_w1_handler1,1728197,8273620,False,,11068,fasta,11068,fasta,2142820.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17718645,,17718645,,"""fasta""","""no""","""20""",32.0,,16619708,1417379430.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2014-11-30 20:30:35.216835,42874.0,4.0
2014-11-30 21:04:58.574550,rodeo_normal,1417381515.0,0.0,1.0,main_w2_handler1,1728197,8273753,False,,4701,fasta,6367,fasta,359889.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17718709,,17718710,,"""fasta""","""no""","""20""",2.0,,16619708,1417381512.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2014-11-30 21:05:18.400644,42874.0,3.0
2014-11-30 20:44:03.696835,rodeo_normal,1417381916.0,0.0,1.0,main_w2_handler0,1728197,8273673,False,,4701,fasta,6367,fasta,359915.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17718709,,17718710,,"""fasta""","""no""","""20""",2.0,,16619708,1417381911.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2014-11-30 21:12:03.173677,42874.0,5.0
2017-04-10 13:08:05.918336,slurm_normal,1491829710.0,0.0,1.0,main_w4_handler0,1995864,15540768,False,,69673373,fasta,19187227,fasta,9666047.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29149060}]",,"[{'src': 'hda', 'id': 29148978}]","""fasta""","""no""","""20""",32.0,,37245771,1491829706.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2017-04-10 13:08:35.863605,25840.0,4.0
2017-05-07 14:24:45.819702,slurm_normal,1494167095.0,0.0,1.0,main_w4_handler0,3101273,15772521,False,,27384,fasta,27384,fasta,9879682.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29506636}]",,"[{'src': 'hda', 'id': 29506636}]","""fasta""","""no""","""20""",32.0,,37812084,1494167090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2017-05-07 14:24:58.035243,,5.0
2017-05-07 12:22:22.943766,slurm_normal,1494159759.0,0.0,1.0,main_w4_handler0,3101283,15772041,False,,1459034,fasta,1459034,fasta,9879221.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29505939}]",,"[{'src': 'hda', 'id': 29505939}]","""fasta""","""no""","""20""",32.0,,37812297,1494159753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2017-05-07 12:22:41.777138,,6.0
2017-05-07 15:48:20.697876,slurm_normal,1494172108.0,0.0,1.0,main_w4_handler1,3101551,15772839,False,,6327,fasta,6327,fasta,9879973.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29507241}]",,"[{'src': 'hda', 'id': 29507241}]","""fasta""","""no""","""20""",32.0,,37815218,1494172104.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2017-05-07 15:48:31.378279,105399.0,4.0
2017-05-07 23:38:12.406994,slurm_normal,1494200300.0,0.0,1.0,main_w3_handler1,3083993,15775003,False,,2115055,fasta,2115055,fasta,9881717.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/pyrAer1.len""","""pyrAer1""",,"[{'src': 'hda', 'id': 29510331}]",,"[{'src': 'hda', 'id': 29510331}]","""fasta""","""no""","""20""",32.0,,37519146,1494200296.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: megamerger53/5.0.0,5.0.0,,2017-05-07 23:38:23.366238,,4.0
