create_time,destination_id,exit_code,file_list,file_list_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv.alignments,parameters.adv.header,parameters.adv.matepairDist,parameters.adv.minMapq,parameters.adv.primary,parameters.adv.region,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-26 12:22:15.178928,slurm_normal,,143191386,fastqsanger.gz,main_w4_handler1,3035405,15945630,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10044204.roundup,slurm,,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29782543}]",file_list,"""bam""",,38204036,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-05-28 00:22:27.724735,102263.0,129612.545807
2017-05-27 07:39:43.642823,slurm_normal,,131586049,fastqsanger,main_w4_handler0,3121277,15950689,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10048935.roundup,slurm,,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 29790997}]",file_list,"""sam""",,38125830,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-05-28 19:40:02.984945,106365.0,129619.342122
2017-07-15 06:47:28.391625,slurm_normal,,1262653221,txt,main_w4_handler1,3193089,16350581,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10415935.roundup,slurm,,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,"[{'src': 'hda', 'id': 30499820}]",file_list,"""bam""",,38569294,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-07-16 18:47:49.790985,89476.0,129621.39936000001
2017-07-15 10:50:58.611897,slurm_normal,,1262653221,txt,main_w4_handler1,3193644,16351005,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10416246.roundup,slurm,,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,"[{'src': 'hda', 'id': 30501786}]",file_list,"""bam""",,38569294,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-07-16 22:51:19.314298,89476.0,129620.702401
2017-07-15 07:31:59.749192,slurm_normal,,1262653221,txt,main_w4_handler0,3193089,16350614,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10415970.roundup,slurm,,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,"[{'src': 'hda', 'id': 30499820}]",file_list,"""bam""",,38569294,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-07-16 19:32:20.083726,89476.0,129620.33453400001
2017-07-26 07:18:27.548055,slurm_normal,,558787281,sra,main_w3_handler1,3201014,16420589,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10486187.roundup,slurm,,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 30615749}]",file_list,"""bam""",,39470955,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-07-27 19:18:47.709960,109308.0,129620.161905
2017-10-10 12:28:44.807999,slurm_normal,,1674417554,fastq.gz,main_w3_handler1,1995571,17064526,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11122054.roundup,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 31627092}]",file_list,"""bam""",,41185087,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-10-12 00:29:05.909464,24706.0,129621.10146500001
2017-10-16 23:16:03.514297,slurm_normal,,20561312775,fastq.gz,main_w4_handler0,3288190,17117744,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11175145,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 31709355}]",file_list,"""bam""",,41319358,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-10-18 11:16:34.848644,112346.0,129631.33434700001
2017-10-16 23:16:02.511508,slurm_normal,,17320902656,fastq.gz,main_w4_handler1,3288190,17117743,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11175144,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 31698335}]",file_list,"""bam""",,41319358,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-10-18 11:16:35.980751,112346.0,129633.46924300001
2017-10-18 15:30:33.238366,slurm_normal,,1537117514,fastq.gz,main_w3_handler0,3287355,17133836,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11190507,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 31738984}]",file_list,"""bam""",,41284778,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-10-20 03:31:11.687404,,129638.449038
2017-10-18 15:57:45.267639,slurm_normal,,1588292621,fastq.gz,main_w4_handler0,3287355,17134108,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11190940,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 31739580}]",file_list,"""bam""",,41359657,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-10-20 03:58:12.278463,113872.0,129627.01082400001
2017-10-18 15:57:45.031372,slurm_normal,,1537117514,fastq.gz,main_w4_handler1,3287355,17134107,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11190941,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 31738984}]",file_list,"""bam""",,41359657,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-10-20 03:58:43.926342,113872.0,129658.89497000001
2018-03-05 11:02:45.171924,slurm_normal,,6499,txt,main_w3_handler1,3452095,18608551,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12703895,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 34213438}]",file_list,"""bam""",,44336483,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2018-03-06 23:03:06.262705,,129621.090781
2017-11-08 16:44:23.363879,slurm_normal,,808859454,fastq.gz,main_w3_handler1,2835732,17382691,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11444460,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 32154373}]",file_list,"""bam""",,41853664,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-11-10 04:44:57.919230,91103.0,129634.555351
2017-11-10 11:13:18.655405,slurm_normal,,520671668,fasta,main_w4_handler0,3070236,17408958,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11470873,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 32217359}]",file_list,"""bam""",,41633518,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-11-11 23:13:34.564119,103957.0,129615.908714
2017-11-28 08:05:00.126390,slurm_normal,,2492390529,fastq.gz,main_w4_handler1,2607739,17614690,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11675538,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 32577361}]",file_list,"""bam""",,42297859,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2017-11-29 20:05:13.538621,50791.0,129613.41223100001
2018-03-07 04:46:56.748060,slurm_normal,,6499,txt,main_w3_handler1,3452095,18634294,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12730695,slurm,,corral-repl,,both,yes,,,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",2,"[{'src': 'hda', 'id': 34213438}]",file_list,"""bam""",,44395631,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.1.2,2.8.1.2,,2018-03-08 16:47:26.781664,101624.0,129630.03360400001
